run_accession	description
ERR883302	Illumina HiSeq 2500 paired end sequencing
ERR883303	Illumina HiSeq 2500 paired end sequencing
ERR883307	Illumina HiSeq 2500 paired end sequencing
ERR883309	Illumina HiSeq 2500 paired end sequencing
ERR883310	Illumina HiSeq 2500 paired end sequencing
ERR883311	Illumina HiSeq 2500 paired end sequencing
ERR883313	Illumina HiSeq 2500 paired end sequencing
ERR883314	Illumina HiSeq 2500 paired end sequencing
ERR883315	Illumina HiSeq 2500 paired end sequencing
ERR883320	Illumina HiSeq 2500 paired end sequencing
ERR883323	Illumina HiSeq 2500 paired end sequencing
ERR883324	Illumina HiSeq 2500 paired end sequencing
ERR883328	Illumina HiSeq 2500 paired end sequencing
ERR883329	Illumina HiSeq 2500 paired end sequencing
ERR883331	Illumina HiSeq 2500 paired end sequencing
ERR883334	Illumina HiSeq 2500 paired end sequencing
ERR883338	Illumina HiSeq 2500 paired end sequencing
ERR883341	Illumina HiSeq 2500 paired end sequencing
ERR883342	Illumina HiSeq 2500 paired end sequencing
ERR883345	Illumina HiSeq 2500 paired end sequencing
ERR883347	Illumina HiSeq 2500 paired end sequencing
ERR883348	Illumina HiSeq 2500 paired end sequencing
ERR883351	Illumina HiSeq 2500 paired end sequencing
ERR883353	Illumina HiSeq 2500 paired end sequencing
ERR883357	Illumina HiSeq 2500 paired end sequencing
ERR883360	Illumina HiSeq 2500 paired end sequencing
ERR883361	Illumina HiSeq 2500 paired end sequencing
ERR883362	Illumina HiSeq 2500 paired end sequencing
ERR883363	Illumina HiSeq 2500 paired end sequencing
ERR883364	Illumina HiSeq 2500 paired end sequencing
ERR883367	Illumina HiSeq 2500 paired end sequencing
ERR883369	Illumina HiSeq 2500 paired end sequencing
ERR883373	Illumina HiSeq 2500 paired end sequencing
ERR883375	Illumina HiSeq 2500 paired end sequencing
ERR883378	Illumina HiSeq 2500 paired end sequencing
ERR883386	Illumina HiSeq 2500 paired end sequencing
SRR10123248	Illumina MiSeq sequencing: WGS of MDR bacteria
SRR10123251	Illumina MiSeq sequencing: WGS of MDR bacteria
SRR10126809	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126820	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126827	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126828	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126830	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126836	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126859	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126862	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126873	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126879	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126928	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10126939	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10127112	NextSeq 500 sequencing: Melbourne Genomics Health Alliance 'Controlling Superbugs' Study - Using genomics to track transmission of multidrug-resistant pathogens in hospitals
SRR10151492	Illumina MiniSeq sequencing: WGS of enterococci
SRR10151495	Illumina MiniSeq sequencing: WGS of enterococci
SRR10151497	Illumina MiniSeq sequencing: WGS of enterococci
SRR10151508	Illumina MiniSeq sequencing: WGS of enterococci
SRR10151509	Illumina MiniSeq sequencing: WGS of enterococci
SRR10156082	Illumina MiSeq paired end sequencing: Whole genome shotgun sequencing of FSIS11924199 by Illumina MiSeq
SRR10156101	Illumina MiSeq paired end sequencing: Whole genome shotgun sequencing of FSIS11924201 by Illumina MiSeq
SRR10166101	Illumina MiSeq paired end sequencing: Whole genome shotgun sequencing of FSIS11923857 by Illumina MiSeq
SRR10166108	Illumina MiSeq paired end sequencing: Whole genome shotgun sequencing of FSIS11923860 by Illumina MiSeq
SRR10166112	Illumina MiSeq paired end sequencing: Whole genome shotgun sequencing of FSIS11923855 by Illumina MiSeq
SRR10166114	Illumina MiSeq paired end sequencing: Whole genome shotgun sequencing of FSIS11923859 by Illumina MiSeq
SRR10166173	Illumina MiSeq paired end sequencing: Whole genome shotgun sequencing of FSIS11923611 by Illumina MiSeq
SRR10216530	Illumina MiSeq sequencing: Illumina sequencing of DHQP2019-22-04
SRR10216533	Illumina MiSeq sequencing: Illumina sequencing of DHQP2019-22-01
SRR10233542	NextSeq 550 sequencing: WGS of E. faecium
SRR10233545	NextSeq 550 sequencing: WGS of E. faecium
SRR10233546	NextSeq 550 sequencing: WGS of E. faecium
SRR10233548	NextSeq 550 sequencing: WGS of E. faecium
SRR10233550	NextSeq 550 sequencing: WGS of E. faecium
SRR10233561	NextSeq 550 sequencing: WGS of E. faecium
SRR10233566	NextSeq 550 sequencing: WGS of E. faecium
SRR10233567	NextSeq 550 sequencing: WGS of E. faecium
SRR10233568	NextSeq 550 sequencing: WGS of E. faecium
SRR10233569	NextSeq 550 sequencing: WGS of E. faecium
SRR10233581	NextSeq 550 sequencing: WGS of E. faecium
SRR10233582	NextSeq 550 sequencing: WGS of E. faecium
SRR10233584	NextSeq 550 sequencing: WGS of E. faecium
SRR10233586	NextSeq 550 sequencing: WGS of E. faecium
SRR10233587	NextSeq 550 sequencing: WGS of E. faecium
SRR10233588	NextSeq 550 sequencing: WGS of E. faecium
SRR10233591	NextSeq 550 sequencing: WGS of E. faecium
SRR10233592	NextSeq 550 sequencing: WGS of E. faecium
SRR10233594	NextSeq 550 sequencing: WGS of E. faecium
SRR10233596	NextSeq 550 sequencing: WGS of E. faecium
SRR10233597	NextSeq 550 sequencing: WGS of E. faecium
SRR10233599	NextSeq 550 sequencing: WGS of E. faecium
SRR10233601	NextSeq 550 sequencing: WGS of E. faecium
SRR10233602	NextSeq 550 sequencing: WGS of E. faecium
SRR10233603	NextSeq 550 sequencing: WGS of E. faecium
SRR10233605	NextSeq 550 sequencing: WGS of E. faecium
SRR10233606	NextSeq 550 sequencing: WGS of E. faecium
SRR10233612	NextSeq 550 sequencing: WGS of E. faecium
SRR10233617	NextSeq 550 sequencing: WGS of E. faecium
SRR10233618	NextSeq 550 sequencing: WGS of E. faecium
SRR10233629	NextSeq 550 sequencing: WGS of E. faecium
SRR10233633	NextSeq 550 sequencing: WGS of E. faecium
SRR10233634	NextSeq 550 sequencing: WGS of E. faecium
SRR10233635	NextSeq 550 sequencing: WGS of E. faecium
SRR10233636	NextSeq 550 sequencing: WGS of E. faecium
SRR10233637	NextSeq 550 sequencing: WGS of E. faecium
SRR10233641	NextSeq 550 sequencing: WGS of E. faecium
SRR10233643	NextSeq 550 sequencing: WGS of E. faecium
SRR10233647	NextSeq 550 sequencing: WGS of E. faecium
SRR10233652	NextSeq 550 sequencing: WGS of E. faecium
SRR10233655	NextSeq 550 sequencing: WGS of E. faecium
SRR10233656	NextSeq 550 sequencing: WGS of E. faecium
SRR10233662	NextSeq 550 sequencing: WGS of E. faecium
SRR10233663	NextSeq 550 sequencing: WGS of E. faecium
SRR10233664	NextSeq 550 sequencing: WGS of E. faecium
SRR10233675	NextSeq 550 sequencing: WGS of E. faecium
SRR10233677	NextSeq 550 sequencing: WGS of E. faecium
SRR10233679	NextSeq 550 sequencing: WGS of E. faecium
SRR10233680	NextSeq 550 sequencing: WGS of E. faecium
SRR10233681	NextSeq 550 sequencing: WGS of E. faecium
SRR10233683	NextSeq 550 sequencing: WGS of E. faecium
SRR10233685	NextSeq 550 sequencing: WGS of E. faecium
SRR10233688	NextSeq 550 sequencing: WGS of E. faecium
SRR10233691	NextSeq 550 sequencing: WGS of E. faecium
SRR10233694	NextSeq 550 sequencing: WGS of E. faecium
SRR10233698	NextSeq 550 sequencing: WGS of E. faecium
SRR10233700	NextSeq 550 sequencing: WGS of E. faecium
SRR10233701	NextSeq 550 sequencing: WGS of E. faecium
SRR10233708	NextSeq 550 sequencing: WGS of E. faecium
SRR10233714	NextSeq 550 sequencing: WGS of E. faecium
SRR10233715	NextSeq 550 sequencing: WGS of E. faecium
SRR10233717	NextSeq 550 sequencing: WGS of E. faecium
SRR10233718	NextSeq 550 sequencing: WGS of E. faecium
SRR10233722	NextSeq 550 sequencing: WGS of E. faecium
SRR10233723	NextSeq 550 sequencing: WGS of E. faecium
SRR10233727	NextSeq 550 sequencing: WGS of E. faecium
SRR10233728	NextSeq 550 sequencing: WGS of E. faecium
SRR10233731	NextSeq 550 sequencing: WGS of E. faecium
SRR10233732	NextSeq 550 sequencing: WGS of E. faecium
SRR10233734	NextSeq 550 sequencing: WGS of E. faecium
SRR10233738	NextSeq 550 sequencing: WGS of E. faecium
SRR10233741	NextSeq 550 sequencing: WGS of E. faecium
SRR10233743	NextSeq 550 sequencing: WGS of E. faecium
SRR10233750	NextSeq 550 sequencing: WGS of E. faecium
SRR10233751	NextSeq 550 sequencing: WGS of E. faecium
SRR10233753	NextSeq 550 sequencing: WGS of E. faecium
SRR10233754	NextSeq 550 sequencing: WGS of E. faecium
SRR10233758	NextSeq 550 sequencing: WGS of E. faecium
SRR10233760	NextSeq 550 sequencing: WGS of E. faecium
SRR10233763	NextSeq 550 sequencing: WGS of E. faecium
SRR10233765	NextSeq 550 sequencing: WGS of E. faecium
SRR10233771	NextSeq 550 sequencing: WGS of E. faecium
SRR10233775	NextSeq 550 sequencing: WGS of E. faecium
SRR10233776	NextSeq 550 sequencing: WGS of E. faecium
SRR10233780	NextSeq 550 sequencing: WGS of E. faecium
SRR10233781	NextSeq 550 sequencing: WGS of E. faecium
SRR10233783	NextSeq 550 sequencing: WGS of E. faecium
SRR10233792	NextSeq 550 sequencing: WGS of E. faecium
SRR10233795	NextSeq 550 sequencing: WGS of E. faecium
SRR10233799	NextSeq 550 sequencing: WGS of E. faecium
SRR10233800	NextSeq 550 sequencing: WGS of E. faecium
SRR10233801	NextSeq 550 sequencing: WGS of E. faecium
SRR10233803	NextSeq 550 sequencing: WGS of E. faecium
SRR10233805	NextSeq 550 sequencing: WGS of E. faecium
SRR10233808	NextSeq 550 sequencing: WGS of E. faecium
SRR10233809	NextSeq 550 sequencing: WGS of E. faecium
SRR10233810	NextSeq 550 sequencing: WGS of E. faecium
SRR10270720	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270721	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270723	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270725	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270729	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270736	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270738	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270741	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270742	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270743	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270748	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270750	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270755	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270761	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270763	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270765	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270774	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270775	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270778	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270780	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270781	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270785	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270787	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270788	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270789	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270790	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270803	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270804	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270805	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270807	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270808	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270809	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270810	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270811	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270817	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270820	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR10270828	Illumina HiSeq 2500 sequencing: WGS of Vancomycin resistant Enterococcus faecium: immunocompromised pediatric patient
SRR12606386	Illumina HiSeq 2500 sequencing: Illumina HiSeq 2500 paired end sequencing: Enterococcus faecium strain VET-287
SRR13009678	Illumina MiSeq sequencing: WGS of Enterococcus faecium FI57
SRR13009680	Illumina MiSeq sequencing: WGS of Enterococcus faecium FI95
SRR13009683	Illumina MiSeq sequencing: WGS of Enterococcus faecium FI58
SRR13009688	Illumina MiSeq sequencing: WGS of Enterococcus faecium FI191
SRR13009691	Illumina MiSeq sequencing: WGS of Enterococcus faecium FI180
SRR13009692	Illumina MiSeq sequencing: WGS of Enterococcus faecium FI176
SRR13009696	Illumina MiSeq sequencing: WGS of Enterococcus faecium FI146
SRR13009697	Illumina MiSeq sequencing: WGS of Enterococcus faecium FI144
SRR13009699	Illumina MiSeq sequencing: WGS of Enterococcus faecium FI190
SRR13249669	Ion Torrent S5 sequencing: E. faecium in vaginal microbiota
SRR14022777	Illumina MiSeq sequencing
SRR14022783	Illumina MiSeq sequencing
SRR14369392	Illumina MiSeq sequencing
SRR14369730	Illumina MiSeq sequencing
SRR14369740	Illumina MiSeq sequencing
SRR14453795	GridION sequencing: AUSMDU00010667
SRR14453801	GridION sequencing: AUSMDU00022624
SRR14453804	GridION sequencing: AUSMDU00017935
SRR14453805	GridION sequencing: AUSMDU00007499
SRR14453806	GridION sequencing: AUSMDU00007436
SRR14481803	MinION sequencing: Long-read sequencing of Enterococcus faecium VBO96
SRR14507748	MinION sequencing: Long read sequencing of F88
SRR14507749	MinION sequencing: Long read sequencing of F39
SRR14507753	Illumina MiniSeq sequencing: Short read sequencing of F88
SRR14507755	Illumina MiniSeq sequencing: Short read sequencing of F179
SRR14521342	Illumina MiSeq sequencing: Enterococcus faecium
SRR14521344	Illumina MiSeq sequencing: Enterococcus faecium
SRR14521346	Illumina MiSeq sequencing: Enterococcus faecium
SRR14525768	Illumina MiSeq sequencing: WGS of a Enterococcus faecium isolate
SRR14546064	Illumina MiSeq sequencing
SRR14550817	Illumina MiSeq sequencing
SRR14673289	NextSeq 500 sequencing: AUSMDU00024699
SRR14673322	NextSeq 500 sequencing: AUSMDU00022393
SRR14673333	NextSeq 500 sequencing: AUSMDU00017868
SRR14673377	NextSeq 500 sequencing: AUSMDU00015269
SRR14673400	NextSeq 500 sequencing: AUSMDU00013425
SRR14673448	NextSeq 500 sequencing: AUSMDU00013118
SRR14673470	NextSeq 500 sequencing: AUSMDU00019327
SRR14673492	NextSeq 500 sequencing: AUSMDU00017862
SRR14673526	NextSeq 500 sequencing: AUSMDU00010567
SRR14673548	NextSeq 500 sequencing: AUSMDU00019224
SRR14673559	NextSeq 500 sequencing: AUSMDU00017846
SRR14673591	NextSeq 500 sequencing: AUSMDU00019920
SRR14673602	NextSeq 500 sequencing: AUSMDU00017222
SRR14673686	NextSeq 500 sequencing: AUSMDU00010570
SRR14693231	Illumina NovaSeq 6000 sequencing: Genome of Enterococcus faecium sodA mutant
SRR14693232	Illumina NovaSeq 6000 sequencing: Genome of Enterococcus faecium WT
SRR14791763	Illumina MiSeq sequencing: ECIS VIR
SRR14820300	Illumina MiSeq sequencing
SRR14836313	MinION sequencing: E. faecium isolated from blood sample
SRR14889344	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889345	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889347	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889349	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889350	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889353	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889361	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889376	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889382	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889383	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889384	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889387	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889389	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889390	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889391	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889395	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889400	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889401	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889402	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889406	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889407	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889409	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889416	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889419	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889420	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889421	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889422	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889423	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889424	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889427	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889433	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889436	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889440	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889442	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889444	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889448	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889456	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889461	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889463	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889480	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889482	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889484	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889489	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889492	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889493	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889497	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889498	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889499	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889500	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889502	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889503	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889505	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889511	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889513	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889516	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889517	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889519	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889523	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889525	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889530	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889533	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889543	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889544	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889546	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889548	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889554	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889556	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889557	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889563	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889565	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889571	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889576	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889580	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889582	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889583	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889586	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889601	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
SRR14889607	Illumina MiSeq sequencing: Shotgun DNA sequencing of Enterococcus faecium
